,id,Star_name_x,Distance_x,Mass_x,Radius_x,Luminosity,Unnamed: 0,Star_name_y,Distance_y,Mass_y,Radius_y
67,87,VFTS 352,"0164,000",57.48,14.47,"330,000",87,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999
68,88,YBP 1194,"02,772",1.01,0.99,0.98,88,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
69,89,Gliese 1214,047.5,0.16,0.21,0.0033,89,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
70,90,Luhman 16,06.50,0.03 + 0.03,?,?,90,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
71,91,NML Cygni,"05,251",50,"1,640 - 2,770","229,000",91,2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999
72,93,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000",93,2MASSI J0937347+293142,20.0,0.040092696,0.0965972199999999
73,94,TRAPPIST-1,039.6,0.089,0.12,0.0005,94,2MASS 0939−2448,17.4,0.030546816,0.0976248499999999
74,95,2MASS J0523-1403,040.3,0.07,0.086,0.00013,95,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999
75,96,WISE 0855−0714,07.27,0.003,?,?,96,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999
76,97,Icarus,"014,400,000,000",33,?,"850,000",97,2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999
